Date,Time,Pressure (hPa)
26-02-2024,10:50:36,8.6E+2
26-02-2024,10:50:52,3.4E+2
26-02-2024,10:51:00,4.6E+1
26-02-2024,10:51:09,1.6E+1
26-02-2024,10:51:17,1.0E+1
26-02-2024,10:51:25,7.4E+0
26-02-2024,10:51:34,7.4E+0
26-02-2024,10:51:42,6.3E+0
26-02-2024,10:51:50,6.3E+0
26-02-2024,10:51:58,6.3E+0
26-02-2024,10:52:07,6.3E+0
26-02-2024,10:52:15,5.4E+0
26-02-2024,10:52:31,5.4E+0
26-02-2024,10:53:04,6.3E+0
26-02-2024,10:53:12,7.4E+0
26-02-2024,10:53:29,1.2E+1
26-02-2024,10:53:37,1.4E+1
26-02-2024,10:53:45,1.6E+1
26-02-2024,10:53:54,1.6E+1
26-02-2024,10:54:10,2.2E+1
26-02-2024,10:54:18,2.2E+1
26-02-2024,10:54:27,2.5E+1
26-02-2024,10:54:35,2.5E+1
26-02-2024,10:54:43,3.0E+1
26-02-2024,10:54:51,3.0E+1
26-02-2024,10:55:00,3.4E+1
26-02-2024,10:55:08,3.4E+1
26-02-2024,10:55:16,4.0E+1
26-02-2024,10:55:25,4.0E+1
26-02-2024,10:55:33,4.0E+1
26-02-2024,10:55:41,4.6E+1
26-02-2024,10:55:49,4.6E+1
26-02-2024,10:55:58,4.6E+1
26-02-2024,10:56:39,6.3E+1
26-02-2024,10:56:47,6.3E+1
26-02-2024,10:56:55,6.3E+1
26-02-2024,10:57:12,7.4E+1
26-02-2024,10:57:20,7.4E+1
26-02-2024,10:57:28,7.4E+1
26-02-2024,10:57:37,7.4E+1
26-02-2024,10:57:45,7.4E+1
26-02-2024,10:57:53,8.6E+1
26-02-2024,10:58:02,8.6E+1
26-02-2024,10:58:10,8.6E+1
26-02-2024,10:58:18,8.6E+1
26-02-2024,10:58:26,8.6E+1
26-02-2024,10:58:51,1.0E+2
26-02-2024,10:59:40,1.2E+2
26-02-2024,10:59:48,1.2E+2
26-02-2024,11:00:13,1.2E+2
26-02-2024,11:00:37,1.4E+2
26-02-2024,11:00:46,1.4E+2
26-02-2024,11:00:54,1.4E+2
26-02-2024,11:01:10,1.4E+2
26-02-2024,11:01:19,1.4E+2
26-02-2024,11:01:27,1.4E+2
26-02-2024,11:01:43,1.4E+2
26-02-2024,11:02:08,1.6E+2
26-02-2024,11:02:16,1.6E+2
26-02-2024,11:02:24,1.6E+2
26-02-2024,11:02:57,1.6E+2
26-02-2024,11:05:24,2.2E+2
26-02-2024,11:05:33,2.2E+2
